crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
PEPEUSDC	2025-03	-111	1	425.00180431125716	1.5	0.05	1.5	0.04	26
PEPEUSDC	2025-03	-111	2	416.6527945799598	1.5	0.05	1.5	0.24000000000000002	26
PEPEUSDC	2025-03	-111	3	426.2437245795908	1.5	0.05	1.5	0.44	26
PEPEUSDC	2025-03	-111	4	423.0007625939827	1.5	0.05	1.5	0.64	26
PEPEUSDC	2025-03	-111	5	423.3249767945161	1.5	0.05	1.5	0.84	26
PEPEUSDC	2025-03	-111	6	421.06390131938923	1.5	0.05	1.5	1.04	26
PEPEUSDC	2025-03	-111	7	418.71021961705577	1.5	0.05	1.5	1.24	26
PEPEUSDC	2025-03	-111	8	423.77353091406184	1.5	0.05	1.5	1.44	25
PEPEUSDC	2025-03	-111	9	439.214901761018	1.5	0.05	1.5	1.6400000000000001	25
PEPEUSDC	2025-03	-111	10	421.58284159291617	1.5	0.05	1.5	1.8400000000000003	25
PEPEUSDC	2025-03	-111	11	417.23539273411234	1.5	0.05	1.5	2.04	25
PEPEUSDC	2025-03	-111	12	428.17054513130097	1.5	0.05	1.5	2.2399999999999998	25
PEPEUSDC	2025-03	-111	13	442.29344479900607	1.5	0.05	1.5	2.44	25
PEPEUSDC	2025-03	-111	14	450.7533960087381	1.5	0.05	1.5	2.64	25
PEPEUSDC	2025-03	-111	15	474.0449318398733	1.5	0.05	1.5	2.8400000000000003	25
PEPEUSDC	2025-03	-111	16	540.616302051971	1.5	0.05	1.5	3.04	25
PEPEUSDC	2025-03	-111	17	548.6595190098446	1.5	0.05	1.5	3.2399999999999998	24
PEPEUSDC	2025-03	-111	18	541.8913717474719	1.5	0.05	1.5	3.44	24
PEPEUSDC	2025-03	-111	19	544.979864377855	1.5	0.05	1.5	3.64	24
PEPEUSDC	2025-03	-111	20	543.6459911374693	1.5	0.05	1.5	3.84	24
PEPEUSDC	2025-03	-111	21	538.5430517311953	1.5	0.05	1.5	4.04	24
PEPEUSDC	2025-03	-111	22	569.6102773659936	1.5	0.05	1.5	4.24	24
