crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
SOLUSDC	2025-03	-111	1	204.44884915558893	1.5	0.05	1.53	0.01	12
SOLUSDC	2025-03	-111	2	201.6389097693339	1.5	0.05	1.73	0.01	11
SOLUSDC	2025-03	-111	3	206.37267330975104	1.5	0.05	1.9299999999999997	0.01	12
SOLUSDC	2025-03	-111	4	215.53293077660246	1.5	0.05	2.13	0.01	12
SOLUSDC	2025-03	-111	5	212.15934846369035	1.5	0.05	2.33	0.01	11
SOLUSDC	2025-03	-111	6	218.53996542912466	1.5	0.05	2.53	0.01	12
SOLUSDC	2025-03	-111	7	214.93257887107512	1.5	0.05	2.73	0.01	11
SOLUSDC	2025-03	-111	8	218.30869366785353	1.5	0.05	2.93	0.01	11
SOLUSDC	2025-03	-111	9	222.38816906452203	1.5	0.05	3.1300000000000003	0.01	12
SOLUSDC	2025-03	-111	10	223.56817123238	1.5	0.05	3.3300000000000005	0.01	11
SOLUSDC	2025-03	-111	11	221.86603702027855	1.5	0.05	3.53	0.01	12
SOLUSDC	2025-03	-111	12	219.91715770486462	1.5	0.05	3.73	0.01	10
SOLUSDC	2025-03	-111	13	220.73794284613066	1.5	0.05	3.93	0.01	12
SOLUSDC	2025-03	-111	14	221.06896505637795	1.5	0.05	4.130000000000001	0.01	10
SOLUSDC	2025-03	-111	15	223.08185247179304	1.5	0.05	4.33	0.01	10
SOLUSDC	2025-03	-111	16	225.2351172217825	1.5	0.05	4.53	0.01	11
SOLUSDC	2025-03	-111	17	224.44473836470826	1.5	0.05	4.73	0.01	10
SOLUSDC	2025-03	-111	18	219.66557911357972	1.5	0.05	4.930000000000001	0.01	10
SOLUSDC	2025-03	-111	19	222.61153088093252	1.5	0.05	5.130000000000001	0.01	11
SOLUSDC	2025-03	-111	20	221.0747954160623	1.5	0.05	5.33	0.01	12
